#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:6

03DS0001	Basic	03DSA-SolvingForRRs	What is the general rule for integrating a power of `n`, i.e., `n^A`? What is the special case?	For `A ≠ -1`: \( \int n^A \, dn = \frac{n^{A+1}}{A+1} + C \)<br><br>For the special case `A = -1`: \( \int n^{-1} \, dn = \int \frac{1}{n} \, dn = \log(n) + C \)
03DS0013	Basic	03DSA-SolvingForRRs	How do you solve a recurrence where `A` is not constant, like \( T(n) = n \cdot T(n-1) + (n+1)! \)?	Divide both sides by a product (often `n!`) to create a telescoping series.<br>1.  Divide by `n!`: \( \frac{T(n)}{n!} = \frac{T(n-1)}{(n-1)!} + (n+1) \).<br>2.  Let \( F(n) = T(n)/n! \). Then \( F(n) = F(n-1) + (n+1) \).<br>3.  This telescopes: \( F(n) = \sum_{i=1}^n (i+1) = \Theta(n^2) \).<br>4.  Thus, \( T(n) = n! \cdot F(n) = \Theta(n^2 \cdot n!) \).
03DS0014	Basic	03DSA-SolvingForRRs	What is the general form of a recurrence solvable by the Akra-Bazzi theorem? What equation defines the exponent `p`?	General form: \( T(n) = \sum_{i=1}^k a_i T(b_i n + h_i(n)) + f(n) \), with \( a_i>0 \), \( 0<b_i<1 \), and \( |h_i(n)|=O(n/\log^2 n) \).<br><br>Exponent `p` is the unique real number satisfying: \( \sum_{i=1}^k a_i b_i^p = 1 \).
03DS0015	Basic	03DSA-SolvingForRRs	Given the Akra-Bazzi exponent `p`, what is the formula for \( T(n) \)?	\( T(n) = \Theta\left( n^p \left( 1 + \int_1^n \frac{f(u)}{u^{p+1}} \, du \right) \right) \).<br><br>This generalizes the Master Theorem's integral form to multiple recursive terms.
03DS0016	Basic	03DSA-SolvingForRRs	If \( f(n) = \Theta(n^k) \) in an Akra-Bazzi recurrence, what are the two possible outcomes based on the exponent `p` compared to `k`?	Let `p` be the solution to \( \sum a_i b_i^p = 1 \).<br>*   If \( p = k \), then \( T(n) = \Theta(n^k \log n) \).<br>*   If \( p < k \), then \( T(n) = \Theta(n^k) \).<br>*(If \( p > k \), the formula gives \( T(n)=\Theta(n^p) \), which dominates \( n^k \))*
03DS0017	Basic	03DSA-SolvingForRRs	How do you solve a recurrence in two variables like \( T(n,k) = T(n/2, k) + T(n, k/4) + nk \) for asymptotic bounds?	Unfold the recursion tree. The cost at the root is `nk`. The children sum costs \( (n/2)*k + n*(k/4) = (3/4)nk \). This forms a geometric series.<br><br>\( T(n,k) = nk \left(1 + \frac{3}{4} + \left(\frac{3}{4}\right)^2 + \dots \right) = nk \cdot \frac{1}{1 - 3/4} = 4nk = \Theta(nk) \).
03DS0018	Basic	03DSA-SolvingForRRs	In a recursive function `F(n, m)`, if the base case is `n <= 1 OR m <= 1`, what determines the recursion depth (height of the tree)?	The recursion stops when *either* variable hits its base constant. Therefore, the depth is determined by the variable that reaches its base *fastest*.<br>Depth \( h = 1 + \min(h_n, h_m) \), where \( h_n \) and \( h_m \) are the individual recursion depths for `n` and `m` alone.<br><br>For `n <= 1 AND m <= 1`, the depth is \( 1 + \max(h_n, h_m) \).
03DS0019	Basic	03DSA-SolvingForRRs	For a linear homogeneous recurrence \( T(n) = a_1 T(n-1) + a_2 T(n-2) + ... + a_k T(n-k) \), how do you find its characteristic equation?	Assume a solution of the form \( T(n) = r^n \). Substitute into the recurrence (ignoring base cases):<br>\( r^n = a_1 r^{n-1} + a_2 r^{n-2} + ... + a_k r^{n-k} \).<br>Divide both sides by \( r^{n-k} \):<br>\( r^k = a_1 r^{k-1} + a_2 r^{k-2} + ... + a_k \).<br>Rearrange to standard form:<br>\( r^k - a_1 r^{k-1} - a_2 r^{k-2} - ... - a_k = 0 \). This is the characteristic equation.
03DS0020	Basic	03DSA-SolvingForRRs	What is the form of the homogeneous solution \( T^{(h)}(n) \) for a linear recurrence, given the roots `r_i` of the characteristic equation?	*   **Distinct Real Roots:** \( T^{(h)}(n) = C_1 r_1^n + C_2 r_2^n + ... + C_k r_k^n \).<br>*   **Repeated Real Root `r` of multiplicity `m`:** The root contributes terms: \( r^n, n r^n, n^2 r^n, ..., n^{m-1} r^n \).<br>    E.g., for root `r` repeated 3 times: \( T^{(h)}(n) = (C_1 + C_2 n + C_3 n^2) r^n \).
03DS0021	Basic	03DSA-SolvingForRRs	How do you guess the form of the particular solution \( T^{(p)}(n) \) for a linear recurrence with forcing function \( f(n) \)? Give an example for \( f(n)=3n5^n \).	Guess a form similar to \( f(n) \), but with unknown coefficients for a complete polynomial.<br>General form for \( f(n) = (\text{polynomial in } n) \cdot A^n \) is \( T^{(p)}(n) = (c_q n^q + ... + c_1 n + c_0) \cdot A^n \).<br><br>For \( f(n)=3n5^n \): The polynomial part is `3n` (degree 1), and \( A=5 \). So guess:<br>\( T^{(p)}(n) = (c_1 n + c_0) \cdot 5^n \).
03DS0022	Basic	03DSA-SolvingForRRs	After guessing \( T^{(p)}(n) \) for a linear recurrence, how do you find its unknown coefficients?	1.  Substitute \( T^{(p)}(n) \) and its shifted versions (e.g., \( T^{(p)}(n-1) \)) into the original, full recurrence \( T(n) = ... + f(n) \).<br>2.  Simplify to get an equation of the form `(Polynomial in n) = f(n)`.<br>3.  Equate the coefficients for each power of `n` on both sides to create a system of linear equations.<br>4.  Solve the system for the unknown coefficients \( c_0, c_1,... \).
03DS0023	Basic	03DSA-SolvingForRRs	What is the final, general solution to a linear recurrence? How are the constants determined?	The general solution is the sum of homogeneous and particular solutions:<br>\( T(n) = T^{(h)}(n) + T^{(p)}(n) \).<br><br>The constants \( C_1, C_2, ... \) in \( T^{(h)}(n) \) are determined by using the *initial conditions* (e.g., \( T(0), T(1), ... T(k-1) \)) and solving the resulting system of linear equations.
03DS0024	Basic	03DSA-SolvingForRRs	What is the recurrence, initial condition, and closed-form solution for the minimum moves in the classic Tower of Hanoi problem with `n` disks?	Recurrence: \( T(n) = 2T(n-1) + 1 \), with \( T(1) = 1 \).<br>Solution: \( T(n) = 2^n - 1 \).<br>*(Derivation: Homogeneous: \( C\cdot2^n \). Particular: constant \( A=-1 \). Apply \( T(1)=1 \) to find \( C=1 \).)*
03DS0025	Basic	03DSA-SolvingForRRs	For a restricted Tower of Hanoi (where direct moves between the first and last peg are forbidden), what is the recurrence and its solution?	Recurrence: \( T(n) = 3T(n-1) + 2 \), with \( T(1) = 2 \).<br>Solution: \( T(n) = 3^n - 1 \).<br>*(Derivation: Homogeneous: \( C\cdot3^n \). Particular: constant \( A=-1 \). Apply \( T(1)=2 \) to find \( C=1 \).)*
03DS0026	Basic	03DSA-SolvingForRRs	What is a common pitfall when applying Case 3 (root-heavy) of the Master Theorem?	Forgetting the *regularity condition*: \( A f(n/b) \le c f(n) \) for some constant \( c < 1 \) and all sufficiently large `n`. This condition ensures the work at the root truly dominates. Some functions like \( f(n)=n \log n \) may not satisfy it for certain `A` and `b`.
03DS0027	Basic	03DSA-SolvingForRRs	What special step is needed when guessing the particular solution \( T^{(p)}(n) \) for a linear recurrence?	If your guessed form for \( T^{(p)}(n) \) is already part of the homogeneous solution \( T^{(h)}(n) \), you must multiply the *entire* guessed particular form by `n` (or `n^s` where `s` is the smallest integer to avoid overlap). This prevents the system of equations from becoming unsolvable.
03DS0028	Basic	03DSA-SolvingForRRs	When should you use the Akra-Bazzi theorem over the standard Master Theorem?	Use Akra-Bazzi when:<br>1.  The recurrence has *multiple* recursive terms (e.g., \( T(n)=T(n/3)+T(2n/3)+n \)).<br>2.  The size splits are *not* exactly equal fractions of `n` (e.g., \( T(n)=T(\lfloor n/2 \rfloor)+T(\lceil n/2 \rceil)+n \)).<br>3.  The `f(n)` term is not a simple polynomial or polylog.<br>The Master Theorem is a special case of Akra-Bazzi for a single recursive term with exact division.
