#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:6

14ML0001	Basic	14ML-LDA	What is the formula for sample variance when data is in vector form?	Given \(n\) samples of a single feature in vector \(\mathbf{x} = [x_1, x_2, ..., x_n]^T\) with mean \(\mu = \frac{1}{n}\sum_{i=1}^n x_i\):<br><br> \(\text{Var}(\mathbf{x}) = \frac{1}{n-1} (\mathbf{x} - \mu\mathbf{1})^T (\mathbf{x} - \mu\mathbf{1}) = \frac{1}{n-1} \sum_{i=1}^n (x_i - \mu)^2\)<br><br><strong>Dimensions:</strong> \(\mathbf{x}\) is \((n \times 1)\), \(\mathbf{1}\) is \((n \times 1)\), \((\mathbf{x} - \mu\mathbf{1})\) is \((n \times 1)\), so result is scalar \((1 \times 1)\).
14ML0012	Basic	14ML-LDA	How do we get from \(J(\mathbf{w}) = \frac{(\tilde{\mu}_1 - \tilde{\mu}_2)^2}{\tilde{s}_1^2 + \tilde{s}_2^2}\) to the standard form \(J(\mathbf{w}) = \frac{\mathbf{w}^T \mathbf{S}_B \mathbf{w}}{\mathbf{w}^T \mathbf{S}_W \mathbf{w}}\)?	1. <strong>Between-class scatter (numerator):</strong> \((\mathbf{w}^T\mathbf{\mu}_1 - \mathbf{w}^T\mathbf{\mu}_2)^2 = \mathbf{w}^T(\mathbf{\mu}_1-\mathbf{\mu}_2)(\mathbf{\mu}_1-\mathbf{\mu}_2)^T\mathbf{w} = \mathbf{w}^T \mathbf{S}_B \mathbf{w}\), where \(\mathbf{S}_B\) is the between-class scatter matrix.<br>2. <strong>Within-class scatter (denominator):</strong> \(\tilde{s}_1^2 + \tilde{s}_2^2 = \sum_{n \in C_1}(\mathbf{w}^T\mathbf{x}_n - \tilde{\mu}_1)^2 + \sum_{n \in C_2}(\mathbf{w}^T\mathbf{x}_n - \tilde{\mu}_2)^2 = \mathbf{w}^T \mathbf{S}_W \mathbf{w}\), where \(\mathbf{S}_W\) is the total within-class scatter matrix.
14ML0013	Basic	14ML-LDA	What is the standard matrix form of Fisher's Linear Discriminant objective function?	The objective is to maximize the ratio of between-class scatter to within-class scatter in the projected space:<br><br>* <em>make the projections on w as <strong>far</strong> as possible and as <strong>compact</strong> as possible</em><br><br> \(J(\mathbf{w}) = \frac{\mathbf{w}^T \mathbf{S}_B \mathbf{w}}{\mathbf{w}^T \mathbf{S}_W \mathbf{w}}\)<br><br>where \(\mathbf{S}_B\) is the between-class scatter matrix and \(\mathbf{S}_W\) is the within-class scatter matrix.
14ML0014	Basic	14ML-LDA	To find the optimal projection vector \(\mathbf{w}\), what mathematical problem arises from maximizing \(J(\mathbf{w}) = \frac{\mathbf{w}^T \mathbf{S}_B \mathbf{w}}{\mathbf{w}^T \mathbf{S}_W \mathbf{w}}\)?	Taking the derivative and setting it to zero leads to the generalized eigenvalue problem:<br><br> \(\mathbf{S}_B \mathbf{w} = \lambda \mathbf{S}_W \mathbf{w} \\ (\mathbf{S}_W^{-1} \mathbf{S}_B) \mathbf{w} = \lambda \mathbf{w}\)<br><br>* This means the optimal \(\mathbf{w}\) is an eigenvector of \(\mathbf{S}_W^{-1}\mathbf{S}_B\).
14ML0015	Basic	14ML-LDA	In the two-class case, what simpler form does the between-class scatter matrix \(\mathbf{S}_B\) take?	For two classes, \(\mathbf{S}_B\) simplifies to an outer product:<br><br> \(\mathbf{S}_B = (\mathbf{\mu}_1 - \mathbf{\mu}_2)(\mathbf{\mu}_1 - \mathbf{\mu}_2)^T\)<br><br>where \(\mathbf{\mu}_1\) and \(\mathbf{\mu}_2\) are the class mean vectors.
14ML0016	Basic	14ML-LDA	What is the closed-form solution for the optimal LDA projection direction \(\mathbf{w}\) in the two-class case?	For two classes, the solution to \(\mathbf{S}_B \mathbf{w} = \lambda \mathbf{S}_W \mathbf{w}\) gives:<br><br> \(\mathbf{w} \propto \mathbf{S}_W^{-1} (\mathbf{\mu}_1 - \mathbf{\mu}_2)\)<br><br>The optimal direction is proportional to \(\mathbf{S}_W^{-1}\) times the difference between class means.
14ML0017	Basic	14ML-LDA	Why isn't the optimal LDA direction simply the line connecting the class means \((\mathbf{\mu}_1 - \mathbf{\mu}_2)\)?	The multiplication by \(\mathbf{S}_W^{-1}\) accounts for the shape and correlation of the data. If features are correlated or have different variances, \(\mathbf{S}_W^{-1}\) "whitens" the space, stretching directions of low variance and compressing directions of high variance to create spherical classes before finding the best separation.
14ML0018	Basic	14ML-LDA	Outline the 5 key steps to compute the LDA projection vector \(\mathbf{w}\) for a 2D, two-class problem.	1. <strong>Compute Class Means:</strong><br>   \(\mathbf{\mu}_1 = \frac{1}{N_1}\sum_{n \in C_1} \mathbf{x}_n\), \(\mathbf{\mu}_2 = \frac{1}{N_2}\sum_{n \in C_2} \mathbf{x}_n\).<br>2. <strong>Compute 0 Centered matrices:</strong><br>   \(\mathbf{\bar{X}}_k = \mathbf{X}_k - \mathbf{1}_{n_k} \mathbf{\mu}_k\)<br>3. <strong>Compute Within-Class Scatter Matrices(unnormalized sum of squares):</strong><br>   \(\mathbf{S}_1 = \sum_{n \in C_1} (\mathbf{x}_n - \mathbf{\mu}_1)(\mathbf{x}_n - \mathbf{\mu}_1)^T\), \(\mathbf{S}_2\) similarly.<br>4. <strong>Compute Total Within-Class Scatter:</strong><br>   \(\mathbf{S}_W = \mathbf{S}_1 + \mathbf{S}_2\).<br>5. <strong>Compute Between-Class Scatter:</strong><br>   \(\mathbf{S}_B = (\mathbf{\mu}_1 - \mathbf{\mu}_2)(\mathbf{\mu}_1 - \mathbf{\mu}_2)^T\).<br>   * we would only need \((\mathbf{\mu}_1 - \mathbf{\mu}_2)\)<br>6. <strong>Solve for \(\mathbf{w}\):</strong><br>   \(\mathbf{w} \propto \mathbf{S}_W^{-1} (\mathbf{\mu}_1 - \mathbf{\mu}_2)\).<br>   * In practice, compute \(\mathbf{w} = \mathbf{S}_W^{-1} (\mathbf{\mu}_1 - \mathbf{\mu}_2)\) and then normalize it (e.g., to unit length).
14ML0019	Basic	14ML-LDA	What is the input data format for binary LDA with \(n\) samples and \(m\) features?	We have two classes (\(C_1\) and \(C_2\)) with:<br><br>- \(\mathbf{X}_1\): \((n_1 \times m)\) matrix for class 1<br>- \(\mathbf{X}_2\): \((n_2 \times m)\) matrix for class 2<br>- Each row is a sample, each column is a feature<br>- Column means are computed separately for each class
14ML0020	Basic	14ML-LDA	How do you center the data for each class, preserving dimensions?	For each class \(k \in \{1, 2\}\):<br><br>1. Compute row vector of means (means of features for all the datas):<br>   \(\mathbf{\mu}_k = \frac{1}{n_k} \mathbf{1}_{n_k}^T \mathbf{X}_k\) (size: \((1 \times m)\))<br>2. Center the data(each data's feature values subtracted by relative mean for that feature):<br>   \(\mathbf{\bar{X}}_k = \mathbf{X}_k - \mathbf{1}_{n_k} \mathbf{\mu}_k\)<br>   where \(\mathbf{1}_{n_k}\) is \((n_k \times 1)\) column vector<br>   <strong>Dimensions Preserved:</strong> \(\mathbf{\bar{X}}_k\) remains \((n_k \times m)\)
14ML0021	Basic	14ML-LDA	How do you compute scatter matrices with correct dimensionality?	For each centered class matrix \(\mathbf{\bar{X}}_k\) (n data * m features):<br><br> \(\mathbf{S}_k = \mathbf{\bar{X}}_k^T \mathbf{\bar{X}}_k\)<br><br><strong>Dimensions:</strong> \(\mathbf{\bar{X}}_k^T\) is \((m \times n_k)\), \(\mathbf{\bar{X}}_k\) is \((n_k \times m)\), so \(\mathbf{S}_k\) is \((m \times m)\).<br><strong>Note:</strong> This is the <strong>scatter matrix</strong> (unnormalized sum of squares).<br><br>* Covariance would be \(\frac{1}{n_k-1}\mathbf{S}_k\).<br><br><strong>Critical:</strong> The order \(\mathbf{\bar{X}}_k^T \mathbf{\bar{X}}_k\) yields feature covariance. Reverse order gives sample similarity.
14ML0022	Basic	14ML-LDA	How do you compute \(\mathbf{S}_W\) and what's the dimensional requirement?	\(\mathbf{S}_W = \mathbf{S}_1 + \mathbf{S}_2\)<br><br><strong>Dimensions:</strong> \((m \times m)\) matrix.<br><strong>Invertibility Requirement:</strong> For \(\mathbf{S}_W^{-1}\) to exist, need \(n_1 + n_2 - 2 \geq m\) (more samples than features minus 2).<br><strong>If \(m > n_1 + n_2 - 2\):</strong> \(\mathbf{S}_W\) is singular. Use regularization: \(\mathbf{S}_W + \lambda\mathbf{I}_m\).
14ML0023	Basic	14ML-LDA	How do you compute the mean difference vector, watching dimensions?	From Step 1 means \(\mathbf{\mu}_1\) and \(\mathbf{\mu}_2\) (each \((1 \times m)\) row vectors):<br><br> \(\mathbf{d} = (\mathbf{\mu}_1 - \mathbf{\mu}_2)^T\)<br><br><strong>Dimensions:</strong> Transpose gives \((m \times 1)\) column vector.<br><strong>Alternative:</strong> If means computed as column vectors \((m \times 1)\), then \(\mathbf{d} = \mathbf{\mu}_1 - \mathbf{\mu}_2\) directly.<br><strong>Consistency is key:</strong> Ensure means and \(\mathbf{d}\) are column vectors for \(\mathbf{S}_W^{-1}\mathbf{d}\) multiplication.
14ML0024	Basic	14ML-LDA	What's the final computation with dimension verification?	Solve:<br><br> \(\mathbf{w} = \mathbf{S}_W^{-1} \mathbf{d}\)<br><br><strong>Dimension Check:</strong><br>- \(\mathbf{S}_W^{-1}\): \((m \times m)\)<br>- \(\mathbf{d}\): \((m \times 1)\)<br>- \(\mathbf{w}\): \((m \times 1)\) ✓<br>  <strong>Practical:</strong> Solve \(\mathbf{S}_W \mathbf{w} = \mathbf{d}\) (avoid explicit inverse).<br>  <strong>Normalize:</strong> \(\mathbf{w} \leftarrow \frac{\mathbf{w}}{\|\mathbf{w}\|}\) (direction matters, magnitude doesn't).
14ML0025	Basic	14ML-LDA	What dimension errors occur with \(\mathbf{X} - \mathbf{\mu}\) (without broadcasting)?	<strong>Error:</strong> \(\mathbf{X}\) is \((n \times m)\), \(\mathbf{\mu}\) is \((1 \times m)\) or \((m \times 1)\).<br>Subtraction fails: \((n \times m) - (1 \times m)\) is not defined in standard matrix algebra.<br><strong>Correct:</strong> Use broadcasting: \(\mathbf{X} - \mathbf{1}_n \mathbf{\mu}\)<br><br>- \(\mathbf{1}_n\): \((n \times 1)\) column vector<br>- \(\mathbf{\mu}\): \((1 \times m)\) row vector<br>- \(\mathbf{1}_n \mathbf{\mu}\): \((n \times m)\) replicated means<br>  <strong>Programming:</strong> In NumPy, \(\mathbf{X} - \mathbf{\mu}\) works with broadcasting if \(\mathbf{\mu}\) is \((1 \times m)\).
14ML0026	Basic	14ML-LDA	What are two critical pitfalls or considerations when applying LDA?	1. <strong>Singular \(\mathbf{S}_W\) Problem:</strong> If the number of samples \(N\) is less than the number of features \(d\), or if features are linearly dependent, \(\mathbf{S}_W\) is singular and cannot be inverted. <strong>Solution:</strong> Use PCA first for dimensionality reduction, or apply regularization (e.g., \(\mathbf{S}_W + \lambda\mathbf{I}\)).<br>2. <strong>Assumption of Common Covariance:</strong> LDA assumes all classes share the same covariance structure (i.e., \(\mathbf{S}_1 \approx \mathbf{S}_2\)). If this is severely violated (classes have very different shapes/spreads), the projection may be suboptimal. QDA (Quadratic DA) relaxes this assumption.<br>3. <strong>Normalization:</strong> The magnitude of \(\mathbf{w}\) from \(\mathbf{S}_W^{-1}(\mathbf{\mu}_1-\mathbf{\mu}_2)\) is arbitrary. The *direction* is what matters. For stability, often normalize \(\mathbf{w}\) to unit length.
